assignedGroup,docAffected,projectId,projectLink,projectStatus,workType,newDoc,workNotes,projApprovedDate
smpte-27c-tc,"[""SMPTE.RP200.2012""]",rp200-2012-rev-001,https://web.powerapps.com/apps/c8863a6c-f697-4d22-94e7-e9a03ba895a4?projId=2102,Open,Revision,undefined,undefined,undefined
smpte-35pm-tc,"[""SMPTE.ST2067-101.2018""]",st2067-101-2017-rev-001,undefined,Open,Revision,undefined,undefined,undefined
smpte-35pm-tc,"[""SMPTE.ST2067-102.2017""]",st2067-102-2017-rev-001,undefined,Complete,Revision,SMPTE.ST2067-102.2022,undefined,undefined
smpte-35pm-tc,undefined,st2067-104-id,undefined,Open,Intial Draft,SMPTE.ST2067-104,undefined,undefined
smpte-35pm-tc,undefined,st2067-105-id,undefined,Open,Intial Draft,undefined,undefined,undefined
smpte-35pm-tc,undefined,st2067-106-id,undefined,Open,Intial Draft,undefined,undefined,undefined
smpte-35pm-tc,"[""SMPTE.RDD47.2018""]",st2067-202-rev-001,undefined,Complete,Revision,SMPTE.ST2067-202.2022,undefined,undefined
smpte-35pm-tc,"[""SMPTE.ST2067-21.2020"",""SMPTE.ST2067-21.2020Am1.2020""]",st2067-21-2020-rev-001,undefined,Complete,Revision,SMPTE.ST2067-21.2022,undefined,undefined
smpte-35pm-tc,undefined,st2067-60-id,undefined,Complete,Intial Draft,undefined,undefined,undefined
smpte-35pm-tc,undefined,st2067-70-20xx-id,undefined,Complete,Intial Draft,SMPTE.ST2067-70.2024-08,undefined,undefined
smpte-27c-tc,"[""SMPTE.ST2098-2.2019""]",st2098-2-20xx-rev-001,https://web.powerapps.com/apps/c8863a6c-f697-4d22-94e7-e9a03ba895a4?projId=2113,Complete,Revision,SMPTE.ST2098-2.2022,undefined,undefined
smpte-27c-tc,"[""SMPTE.ST428-1.2019""]",st428-1-2019-rev-001,undefined,Pending,Revision,undefined,undefined,undefined
smpte-27c-tc,"[""SMPTE.ST428-10.2008""]",st428-10-2008-rev-001,undefined,Pending,Revision,undefined,undefined,undefined
smpte-27c-tc,"[""SMPTE.ST428-11.2013""]",st428-11-2013-rev-001,undefined,Pending,Revision,undefined,Should be updated as per GH issue,undefined
smpte-27c-tc,"[""SMPTE.ST428-2.2006""]",st428-2-2006-rev-001,undefined,Pending,Revision,undefined,Revise at next review (2023) - See GitHub for ISO TC 36 comment responses,undefined
smpte-27c-tc,"[""SMPTE.ST429-10.2008""]",st429-10-2008-rev-001,https://web.powerapps.com/apps/c8863a6c-f697-4d22-94e7-e9a03ba895a4?projId=2029,Complete,Revision,SMPTE.ST429-10.2023-09,undefined,undefined
smpte-27c-tc,"[""SMPTE.ST429-12.2008""]",st429-12-2008-rev-001,undefined,Pending,Revision,undefined,undefined,undefined
smpte-27c-tc,"[""SMPTE.ST429-14.2014""]",st429-14-2014-rev-001,https://web.powerapps.com/apps/c8863a6c-f697-4d22-94e7-e9a03ba895a4?projId=2028,Complete,Revision,SMPTE.ST429-14:2023-09,undefined,undefined
